Mix Number,Year of Publication,Source,Eff. W/C ratio,RCA Content,NCA Content,NFA Content,Cement Content kg/m^3,RCA Bulk Density kg/m^3,NCA Bulk Density kg/m^3,RCA Agg. Size,NCA Size (mm),RCA Water Absorption [%],NCA Water Absorption [%],Slump mm,Specimen Type [in.],Compressive Strength
537,2010,Kumutha and Vijai,0.5,272.8,409.2,620,372,2400,2870,20,20,,,,4x4x4 Cube,26.5
538,2010,Kumutha and Vijai,0.5,461.28,691.92,372,372,2400,2870,20,20,,,,4x4x4 Cube,25.9
539,2010,Kumutha and Vijai,0.5,409.2,272.8,620,372,2400,2870,20,20,,,,4x4x4 Cube,25.4
540,2010,Kumutha and Vijai,0.5,855.6,570.4,248,372,2630,2870,20,20,,,,4x4x4 Cube,23.5
541,2010,Kumutha and Vijai,0.5,545.6,136.4,620,372,2630,2870,20,20,,,,4x4x4 Cube,25.1
542,2010,Kumutha and Vijai,0.5,436.48,109.12,1240,372,2630,2870,20,20,,,,4x4x4 Cube,15.4
543,2010,Kumutha and Vijai,0.5,682,0,620,372,2630,2870,20,,,,,4x4x4 Cube,20.4
545,2011,Gonzalez-Fonteboa et al.,0.5,0,228,760,380,,2720,,20,,2,,6x12 Cylinder,44.8
546,2011,Gonzalez-Fonteboa et al.,0.5,38,152,760,380,2400,2720,16,20,5,2,,6x12 Cylinder,43.7
547,2011,Gonzalez-Fonteboa et al.,0.5,109.78,109.78,844.44,380,2400,2720,16,20,5,2,,6x12 Cylinder,37.5
549,2011,Kou et al.,0.5,442,0,650,390,2570,,19,,7.42,,,,38.1
550,2011,Kou et al.,0.5,442,0,650,390,2570,,19,,7.42,,,,36.5
551,2011,Kou et al.,0.5,442,0,650,390,2570,,19,,7.42,,,,46.6
552,2011,Kou et al.,0.5,442,0,650,390,2570,,19,,7.42,,,,43.1
553,2011,Kou et al.,0.5,442,0,650,390,2570,,19,,7.42,,,,51.1
554,2011,Kou et al.,0.5,442,0,650,390,2570,,19,,7.42,,,,46.2
555,2011,Kou et al.,0.5,442,0,650,390,2570,,19,,7.42,,,,56.3
556,2011,Kou et al.,0.5,442,0,650,390,2570,,19,,7.42,,,,50.8
557,2011,Kou et al.,0.5,442,0,650,390,2570,,19,,7.42,,,,62.7
558,2011,Kou et al.,0.5,442,0,650,390,2570,,19,,7.42,,,,52.2
559,2012,Limbachia et al.,0.5,0,650.83,591.67,355,,2510,,22,,1.4,40,6x12 Cylinder,31
560,2012,Limbachia et al.,0.5,195.25,455.58,591.67,355,2340,2510,20,22,5.3,1.4,20,6x12 Cylinder,25
561,2013,Ignjatovic et al.,0.5,260.78,260.78,590,354,2482,2601,31.5,,3.8,0.5,120,,44.2
562,2013,Ignjatovic et al.,0.5,461.12,0,608.33,365,2482,,31.5,,3.8,,135,,42.5
563,2013,Matias et al.,0.5,0,483.8,590,413,,2652,,32,,0.8,85,6x12 Cylinder,52
564,2013,Matias et al.,0.5,110.63,331.88,590,413,2452,2652,25,32,4.1,0.8,57,6x12 Cylinder,52
565,2013,Matias et al.,0.5,110.63,331.88,590,413,2452,2652,25,25,4.1,0.8,90,6x12 Cylinder,50
566,2013,Matias et al.,0.5,110.63,331.88,590,413,2452,2652,25,25,4.1,0.8,88,6x12 Cylinder,49
567,2013,Matias et al.,0.5,221.25,221.25,590,413,2452,2652,25,32,4.1,0.8,44,6x12 Cylinder,51
568,2013,Matias et al.,0.5,221.25,221.25,590,413,2452,2652,25,32,4.1,0.8,78,6x12 Cylinder,51
569,2013,Matias et al.,0.5,221.25,221.25,590,413,2452,2652,25,32,4.1,0.8,77,6x12 Cylinder,51
570,2013,Matias et al.,0.5,401.2,0,590,413,2452,,25,,4.1,,62,6x12 Cylinder,51
571,2013,Matias et al.,0.5,401.2,0,590,413,2452,,25,,4.1,,75,6x12 Cylinder,49
572,2013,Matias et al.,0.5,401.2,0,590,413,2452,,25,,4.1,,78,6x12 Cylinder,48
